HTML_TAGS ,English
<h1> to <h6>,"The h1 to h6 tags are used to define HTML headings. They add highlight and font style to let the heading of the section stand out. h1 defines the most important heading, while h6 defines the least important."
<hr>,"The hr tag defines a thematic break in an HTML page (e.g., a shift of topic)."
<html>,The HTML tag tells the browser that this is an HTML document. This tag is the container for all other HTML elements (except for the <!DOCTYPE> tag).
<i>,The italic tag is used to highlight important words or sentences within text. Similar to the Italic text found in most word processing programs.
<iframe>,The iframe tag helps you to insert a frame in any HTML document. It does not require a framset container.
<img>,"This tag defines images in an HTML document. A source and an alt are mandatory attributes of this tag. Technically, they are not inserted, they are the source of the image linked to the tag."
<input>,"As the name suggests, an author can accept inputs from users making a page interactive, using this tag. It is used within the form tag."
<ins>,The ins tag defines text that has been inserted into a document. It marks changes or modifications that have occurred in the document.
<kbd>,This tag defines keyboard input. The font style in this tag is different than normal text.
<label>,"The label element does not render anything special for the user. However, it provides a usability improvement for mouse users, because if the user clicks on the text within the label element, the cursor focus is shifted to the relative input element. For this functionality the “for” attribute is used on label."
<legend>,The legend tag defines a caption for the fieldset element. It is similar to the caption tag for a table. It does not have any alignment properties.
<li>,"The li tag defines a list item, and is used in ordered lists (ol), unordered lists (ul), and in menu lists (menu)."
<link>,"As the name states, this tag creates a link with an external source. It can be a file of any format."
<main>,"The main tag, as the name states, highlights the most important content of the document. This content cannot be repeated anywhere throughout the document. It is designed to show screenreaders and assistive technologies exactly where the main content begins. It could also be used for content syndication, where mobile browsers could zoom in when encountering non-responsive websites."
<map>,"The map tag is used to define a client-side image-map, wherein an author can make a part of image clickable."
<mark>,This tag lets you highlight the text in a document.
<meta>,"The meta tag provides metadata about the HTML document. Metadata will not be displayed on the page, but will be machine parsable."
<meter>,"The meter tag defines a scalar measurement within a known range, or a fractional value. This is also known as a gauge."
<nav>,The nav tag defines the navigation links of the page.
<noscript>,The noscript tag defines an alternate content for users that have disabled scripts in their browser or have a browser that does not support script. The noscript contained content/element will be displayed if scripts are not supported.
<object>,"The object tag adds external elements to pages, just by linking the source. External elements can be animated flash, webpages, applets, PDFs, etc. It is placed within the body tag only."
<ol>,Ordered list; lets you have a list of elements with a numbered or alphabetical bulleted list.
<optgroup>,"The optgroup tag helps you create sections or groups within a drop down list. Comes within select tag only, and contains only option as a child."
<option>,"This tag creates the items for selection in the drop down list, i.e., options to be selected from the select tag."
<p>,The p tag defines a paragraph on the page.
<param>,The param tag is used to define parameters for plugins embedded with an object element.
<pre>,"This tag lets you used preformatted text, where the user can define or print text on page ‘as is’ written inside the tag. It preserves line breaks and spaces, hence the br tag is not required."
<progress>,The progress tag represents the progress of a task.
<q>,The q tag defines a short quotation. Browsers normally insert quotation marks around the quotation.
<s>,The s tag defines the encompassed text is not more accurate or correct. Should not be used to define replaced or deleted text.
<samp>,The samp tag is a phrase tag. It defines sample output from a computer program.
<script>,"The script tag enables the author to insert scripting language into document, such as JavaScript. This tag lets you validate, manipulate, and affect content dynamically."
<section>,"The section tag defines a section of the page, such as chapters, headers, footers, etc."
<select>,"The select tag lets the author define a drop down of options to select from, which are hardcoded in HTML. A list of items are inserted using the option tag within the select tag."
<small>,This tag reduces size of the text from the normal size to a smaller size.
<source>,"The source tag is nested within the audio and video tag, letting it define the source of the media to be used by the browser, based on its media type or codec support."
<span>,The span tag is mainly used to add custom styling to inline elements. There are no self-properties defined for this tag.
<strike>,"Using this tag draws a line through the text, similar to the strike through function found in most word processing programs. Not supported in HTML 5, the del tag is used for this functionality in HTML 5."
<strong>,The strong tag is a phrase tag. It defines important text.
<style>,The style tag is used to define styling for the page and elements on the page.
<sub>,"The subscript tag is used to define or format text, by shifting the text to the lower part of the current line, called the baseline. This tag is usually used when expressing scientific formulae."
<sup>,"The superscript tag is used to define say format a text by shifting it to the upper part of the current line, called the baseline. This tag is usually used in mathematics or citations."
<table>,"The table tag is used to present data in a tabular format. The tr tag is used to insert rows, while the td tag is used to insert columns. The th tag is used to define the table header. More complex tables may also include the caption tag, the column tag, the colgroup tag, the table header tag, the table footer tag, and the table body tag."
<tbody>,"The tbody tag, or the table body tag, is used to group the body content in an HTML table. Can be excluded while coding. Thead (table header) and tfoot (table footer) are used in collaboration with the tbody tag, making the table a complete skeleton. When printing a large table that spans multiple pages, these elements can enable the table header and footer to be printed at the top and bottom of each page."
<td>,"The td tag is an individual cell in table, it helps form the columns of the table. An HTML table has two kinds of cells:


Header cells that contain header information (created with the th element)
Standard cells that contain data (created with the td element)"
<textarea>,"The textarea tag defines multi-line text input control. The size of a textarea can be specified by the columns and rows attribute, or using CSS."
<tfoot>,The tfooter tag is used to group the footer content in an HTML table. The thead and tbody tags are used in collaboration with tfoot.
<th>,"The th tag defines a header cell in an HTML table. An HTML table has two kinds of cells:
Header cells that contain header information (created with the th element)
Standard cells that contain data (created with the td element)"
<thead>,The thead tag is used to group the header content in an HTML table. The tbody and tfoot tags are used in collaboration with the thead tag.
<time>,"The time tag defines either a time (24-hour clock), or a date in the Gregorian calendar, optionally with a time and a time-zone offset. This element can be used as a way to encode dates and times in a machine-readable way, so that, for example, user agents can offer to add birthday reminders or scheduled events to the user’s calendar, and search engines can produce smarter search results."
<title>,"As the name states, the title tag defines the title of the page. This tag is placed inside the header tag, and the title element:
defines a title in the browser’s toolbar
provides a title for the page when it is added to favorites
displays a title for the page in search-engine results"
<tr>,"The tr tag defines a row in an HTML table. It contains the td or th tags, which define the visual columns of the table. Both are interdependent, without each other table would not display as expected."
<u>,"The u tag is used to underline words, similar to the underline function found in most word processing software. Deprecated in HTML 4.01, the underline tag was reintroduced in HTML 5 to represent text that should be stylistically different from normal text, such as misspelled words or proper nouns in Chinese. It is recommended to avoid using the underline tag, as text styles with this tag can be mistaken for hyperlinks."
<ul>,Unordered list; lets you have a list of elements without numbers or alphabetical bulleted list. It shows black strong dots (•) as bullets. List items are placed within the li tag.
<var>,The var tag is a phrase tag. It defines a variable. Similar to the italics tag.
<video>,"As the name states, it is a media tag, that defines video in the page, replacing the object and embed tag. Simple to use, source tag within defines the media source url."
<wbr>,The <wbr> (Word Break Opportunity) tag specifies where in a text it would be okay to add a line break. Using this tag prevents the browser from breaking a lengthy word in an abrupt manner.
